Kanji	Hanzi	Syllabe	Label	DansDict	Fichier
是	是	su	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3343.T2.jp.snt
非	非	ze	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3343.T2.jp.snt
大	大	dai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3343.T2.jp.snt
学	学	gaku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3343.T2.jp.snt
大	大	dai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3343.T2.jp.snt
学	学	gaku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3343.T2.jp.snt
的	的	teki	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3883.T1.jp.snt
的	的	teki	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3883.T1.jp.snt
感	感	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3614.T2.jp.snt
人	人	nin	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3149.T1.jp.snt
一	一	i	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3149.T1.jp.snt
杯	杯	i	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3149.T1.jp.snt
居	居	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3149.T1.jp.snt
好	好	su	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2631.T1.jp.snt
算	算	san	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2631.T1.jp.snt
数	数	suu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2631.T1.jp.snt
難	难	muzuka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2631.T1.jp.snt
旅	旅	ryo	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
行	行	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
例	例	tato	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
行	行	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
遠	远	too	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
出	出	de	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
時	时	toki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
達	达	tachi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
一	一	ichi	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
立	立	ta	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
旅	旅	ryo	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
行	行	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
会	会	ga	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
社	社	i	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
頼	赖	i	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3627.T1.jp.snt
強	强	tsuyo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4118.T1.jp.snt
人	人	nin	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4118.T1.jp.snt
入	入	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4118.T1.jp.snt
聞	闻	ki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1863.T1.jp.snt
運	运	hako	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1897.T1.jp.snt
無	无	na	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1897.T1.jp.snt
買	买	ka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0271.T1.jp.snt
有	有	a	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0271.T1.jp.snt
渋	涩	a	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2984.T1.jp.snt
谷	谷	shi	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2984.T1.jp.snt
楽	乐	tano	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0976.T1.jp.snt
事	事	koto	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0976.T1.jp.snt
意	意	i	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0976.T1.jp.snt
味	味	mi	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0976.T1.jp.snt
何	何	nani	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
今	今	ima	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
頑	顽	bun	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
張	张	gan	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
思	思	omo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0452.T2.jp.snt
食	食	kuu	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1807.T2.jp.snt
家	家	ka	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1807.T2.jp.snt
族	族	zoku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1807.T2.jp.snt
物	物	mono	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0280.T2.jp.snt
目	目	me	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0280.T2.jp.snt
金	金	kane	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
持	持	mo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
金	金	kane	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
持	持	mo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
子	子	ko	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
供	供	do	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
心	心	shin	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
配	配	pa	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
言	言	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
以	以	i	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
上	上	jou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
金	金	kin	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
金	金	kane	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
持	持	mo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
子	子	ko	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
供	供	do	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
嫌	嫌	do	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
言	言	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
言	言	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4005.T1.jp.snt
今	今	kon	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0736.T2.jp.snt
年	年	nen	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0736.T2.jp.snt
二	二	ha	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0736.T2.jp.snt
十	十	ta	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0736.T2.jp.snt
歳	岁	ta	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0736.T2.jp.snt
社	社	sha	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2580.T1.jp.snt
会	会	kai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2580.T1.jp.snt
科	科	ka	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2580.T1.jp.snt
違	违	ka	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1058.T1.jp.snt
私	私	watashi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
質	质	shitsu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
問	问	mon	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
私	私	watashi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
普	普	watashi	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
通	通	fu	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
坂	坂	saka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
本	本	moto	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
好	好	su	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1717.T2.jp.snt
生	生	sei	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
活	活	katsu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
習	习	shuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
慣	惯	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
健	健	ken	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
康	康	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
保	保	tamo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
思	思	omo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
色	色	iro	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
気	气	ki	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
付	付	tsu	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
特	特	toku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
運	运	un	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
動	动	dou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
私	私	watashi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
運	运	un	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
動	动	dou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
卓	卓	dou	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
球	球	ta	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0499.T2.jp.snt
野	野	ya	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
球	球	kyuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
見	见	mi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
野	野	ya	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
球	球	kyuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
少	少	shou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
年	年	nen	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
対	对	tai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
決	决	ketsu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
百	百	hyaku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
何	何	nan	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
十	十	juu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
百	百	hyaku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
三	三	zo	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
十	十	juu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
速	速	haya	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
出	出	da	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
小	小	shou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
学	学	gaku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
生	生	sei	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
相	相	ai	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
手	手	te	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
本	本	hon	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
気	气	ki	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
出	出	da	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
勝	胜	ka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
嬉	嬉	ka	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
見	见	mi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3720.T2.jp.snt
音	音	on	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
符	符	on	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
重	重	omo	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
方	方	hou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
音	音	oto	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
綺	绮	oto	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
麗	丽	oto	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
響	响	oto	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0889.T2.jp.snt
日	日	ni	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1093.T2.jp.snt
本	本	hon	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1093.T2.jp.snt
語	语	go	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1093.T2.jp.snt
新	新	ni	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3581.T2.jp.snt
潟	潟	ni	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3581.T2.jp.snt
県	县	i	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3581.T2.jp.snt
確	确	tashi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0118.T2.jp.snt
冷	冷	hi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0118.T2.jp.snt
飯	饭	meshi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0118.T2.jp.snt
使	使	tsuka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0118.T2.jp.snt
方	方	kata	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0118.T2.jp.snt
他	他	hoka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
宿	宿	shuku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
泊	泊	shuku	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
客	客	ha	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
宿	宿	shuku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
泊	泊	shuku	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
客	客	ha	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
観	观	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
光	光	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
客	客	kyaku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0410.T2.jp.snt
誰	谁	kyaku	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4057.T2.jp.snt
一	一	hito	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4057.T2.jp.snt
人	人	ri	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4057.T2.jp.snt
家	家	ie	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4057.T2.jp.snt
関	关	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0657.T2.jp.snt
係	系	kei	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0657.T2.jp.snt
印	印	in	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2313.T1.jp.snt
象	象	shou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2313.T1.jp.snt
残	残	noko	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2313.T1.jp.snt
見	见	mi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1721.T2.jp.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0881.T1.jp.snt
由	由	yuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0881.T1.jp.snt
使	使	tsuka	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_0881.T1.jp.snt
五	五	go	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3293.T2.jp.snt
回	回	kai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3293.T2.jp.snt
水	水	sui	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
陸	陆	riku	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
両	两	ryou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
用	用	you	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
感	感	kan	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
器	器	ki	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
用	用	you	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
可	可	ka	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
愛	爱	wa	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2070.T2.jp.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2202.T1.jp.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2202.T1.jp.snt
発	发	ha	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2202.T1.jp.snt
散	散	san	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2202.T1.jp.snt
時	时	toki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1359.T2.jp.snt
時	时	toki	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1359.T2.jp.snt
東	东	tou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
京	京	kyou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
静	静	shizu	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
岡	冈	shizu	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
行	行	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
大	大	tai	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
変	变	hen	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3972.T1.jp.snt
払	拂	hen	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1568.T1.jp.snt
行	行	i	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1568.T1.jp.snt
学	学	ma	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_1568.T1.jp.snt
旅	旅	ryo	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3437.T1.jp.snt
行	行	kou	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3437.T1.jp.snt
僕	仆	kou	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2551.T2.jp.snt
中	中	chuu	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2551.T2.jp.snt
国	国	go	0	0	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2551.T2.jp.snt
