Kanji	Hanzi	Syllabe	ModeSyl	Mode2Syl	LieuSyl	Label	DansDict	FichierJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh
的	的	teki	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1471.T2.jp.snt	de	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1151.T2.ch.snt
一	一	i	voyelle	_	_	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0931.T2.jp.snt	yī	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0529.T2.ch.snt
回	回	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0931.T2.jp.snt	huí	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_1043.T2.ch.snt
良	良	yo	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0931.T2.jp.snt	liáng	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0375.T2.ch.snt
理	理	ri	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3776.T2.jp.snt	lǐ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0743.T2.ch.snt
解	解	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3776.T2.jp.snt	jiě	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0561.T2.ch.snt
理	理	ri	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3776.T2.jp.snt	lǐ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0477.T2.ch.snt
解	解	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3776.T2.jp.snt	jiě	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0383.T2.ch.snt
連	联	tsu	affriquee	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1281.T2.jp.snt	lián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0965.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1281.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0151.T2.ch.snt
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0218.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0235.T2.ch.snt
体	体	tai	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0218.T2.jp.snt	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1220.T2.ch.snt
三	三	san	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0218.T2.jp.snt	sān	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0515.T2.ch.snt
四	四	shi	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0218.T2.jp.snt	sì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0818.T2.ch.snt
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0218.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0535.T2.ch.snt
方	方	hou	fricative	_	glottale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	fāng	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0254.T2.ch.snt
多	多	oo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	duō	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0633.T2.ch.snt
持	持	mo	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	chí	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0589.T2.ch.snt
運	运	hako	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	yùn	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0364.T2.ch.snt
最	最	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	zuì	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0070.T2.ch.snt
近	近	kin	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	jìn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1231.T2.ch.snt
軽	轻	karu	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	qīng	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1119.T2.ch.snt
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0398.T2.ch.snt
夫	夫	bu	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	fū	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0063.T2.ch.snt
重	重	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	zhòng	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0290.T2.ch.snt
筆	笔	hi	fricative	_	palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	bǐ	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0137.T2.ch.snt
記	记	ki	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	jì	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0866.T2.ch.snt
用	用	you	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	yòng	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0668.T2.ch.snt
具	具	gu	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	jù	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1047.T2.ch.snt
折	折	o	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	zhé	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0515.T2.ch.snt
出	出	de	occlusive	sonore	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0462.T2.jp.snt	chū	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0012.T2.ch.snt
料	料	ryou	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1763.T2.jp.snt	liào	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0803.T2.ch.snt
理	理	ri	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1763.T2.jp.snt	lǐ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0518.T2.ch.snt
私	私	watashi	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1763.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0737.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3064.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0619.T2.ch.snt
所	所	tokoro	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3064.T2.jp.snt	suǒ	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0330.T2.ch.snt
方	方	hou	fricative	_	glottale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2593.T2.jp.snt	fāng	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1196.T2.ch.snt
勧	劝	susu	fricative	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2593.T2.jp.snt	quàn	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0457.T2.ch.snt
気	气	ki	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1655.T2.jp.snt	qì	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0495.T2.ch.snt
普	普	fu	fricative	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1655.T2.jp.snt	pǔ	occlusive	aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0803.T2.ch.snt
段	段	dan	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1655.T2.jp.snt	duàn	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0233.T2.ch.snt
選	选	era	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1655.T2.jp.snt	xuǎn	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0271.T2.ch.snt
人	人	nin	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4000.T2.jp.snt	rén	fricative	sonore	retroflexe	../Corpora/MSLT_Datas/MSLT_Test_CH_0718.T2.ch.snt
市	市	shi	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0765.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0627.T2.ch.snt
内	内	nai	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0765.T2.jp.snt	nèi	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0749.T2.ch.snt
家	家	ie	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0765.T2.jp.snt	jiā	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0742.T2.ch.snt
分	分	wa	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0154.T2.jp.snt	fēn	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1086.T2.ch.snt
頻	频	hin	fricative	_	palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1807.T2.jp.snt	pín	occlusive	aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0060.T2.ch.snt
使	使	tsuka	affriquee	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1807.T2.jp.snt	shǐ	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0287.T2.ch.snt
事	事	koto	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1807.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0100.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_2031.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0324.T2.ch.snt
聴	听	ki	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0844.T2.jp.snt	tīng	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1067.T2.ch.snt
水	水	sui	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1783.T2.jp.snt	shuǐ	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0006.T2.ch.snt
族	族	zoku	affriquee	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1783.T2.jp.snt	zú	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0756.T2.ch.snt
館	馆	kan	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1783.T2.jp.snt	guǎn	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0406.T2.ch.snt
五	五	go	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0563.T2.jp.snt	wǔ	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0827.T2.ch.snt
月	月	gatsu	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0563.T2.jp.snt	yuè	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_1097.T2.ch.snt
三	三	san	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0563.T2.jp.snt	sān	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0035.T2.ch.snt
形	形	katachi	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0563.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0827.T2.ch.snt
待	待	ma	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0563.T2.jp.snt	dài	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0945.T2.ch.snt
実	实	ji	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1234.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0184.T2.ch.snt
際	际	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1234.T2.jp.snt	jì	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0819.T2.ch.snt
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1234.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0708.T2.ch.snt
事	事	ji	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1234.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1193.T2.ch.snt
楽	乐	tano	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3067.T2.jp.snt	lè	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0244.T2.ch.snt
多	多	oo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3067.T2.jp.snt	duō	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0330.T2.ch.snt
手	手	de	occlusive	sonore	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_2459.T2.jp.snt	shǒu	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0238.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_3144.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1049.T2.ch.snt
最	最	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	zuì	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0705.T2.ch.snt
近	近	kin	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	jìn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1208.T2.ch.snt
洋	洋	you	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	yáng	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0740.T2.ch.snt
楽	乐	gaku	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	lè	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0575.T2.ch.snt
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0361.T2.ch.snt
結	结	ke	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	jié	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0283.T2.ch.snt
構	构	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	gòu	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0981.T2.ch.snt
聞	闻	ki	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2259.T2.jp.snt	wén	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_1280.T2.ch.snt
電	电	den	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1153.T2.jp.snt	diàn	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0636.T2.ch.snt
気	气	ki	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1153.T2.jp.snt	qì	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1137.T2.ch.snt
屋	屋	ya	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1153.T2.jp.snt	wū	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0238.T2.ch.snt
好	好	su	fricative	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1153.T2.jp.snt	hǎo	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_1060.T2.ch.snt
迷	迷	mei	nasale	_	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1132.T2.jp.snt	mí	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0922.T2.ch.snt
知	知	shi	fricative	sourde	alveolo-palatale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1132.T2.jp.snt	zhī	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1138.T2.ch.snt
友	友	tomo	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1132.T2.jp.snt	yǒu	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0742.T2.ch.snt
達	达	dachi	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1132.T2.jp.snt	dá	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0671.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1132.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0290.T2.ch.snt
張	张	ha	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1530.T2.jp.snt	zhāng	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0566.T2.ch.snt
二	二	ni	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	èr	voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0696.T2.ch.snt
代	代	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	dài	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1220.T2.ch.snt
目	目	me	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	mù	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0941.T2.ch.snt
二	二	ni	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	èr	voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0035.T2.ch.snt
代	代	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	dài	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1220.T2.ch.snt
目	目	me	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	mù	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0830.T2.ch.snt
何	何	nani	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	hé	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_1184.T2.ch.snt
今	今	ima	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3712.T2.jp.snt	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1038.T2.ch.snt
野	野	ya	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_3015.T2.jp.snt	yě	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_1116.T2.ch.snt
球	球	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_3015.T2.jp.snt	qiú	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0585.T2.ch.snt
本	本	pon	occlusive	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2804.T2.jp.snt	běn	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0181.T2.ch.snt
本	本	hon	fricative	_	glottale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1228.T2.jp.snt	běn	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0822.T2.ch.snt
当	当	tou	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1228.T2.jp.snt	dāng	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1269.T2.ch.snt
大	大	tai	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1228.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0750.T2.ch.snt
切	切	setsu	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1228.T2.jp.snt	qiè	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0002.T2.ch.snt
事	事	koto	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1228.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0686.T2.ch.snt
確	确	tashi	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1257.T2.jp.snt	què	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0216.T2.ch.snt
次	次	tsugi	affriquee	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1257.T2.jp.snt	cì	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1056.T2.ch.snt
最	最	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	zuì	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0742.T2.ch.snt
高	高	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	gāo	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0613.T2.ch.snt
世	世	se	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	shì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0898.T2.ch.snt
界	界	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	jiè	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0495.T2.ch.snt
四	四	shi	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	sì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1169.T2.ch.snt
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0286.T2.ch.snt
六	六	mutsu	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0038.T2.jp.snt	liù	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0067.T2.ch.snt
新	新	shin	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0943.T2.jp.snt	xīn	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0328.T2.ch.snt
聞	闻	bun	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0943.T2.jp.snt	wén	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0494.T2.ch.snt
